IMDBID	TITLE
tt8508734	His House
tt10692788	After Love
tt14640242	Together
tt10696784	The Harder They Fall
tt10627548	Christmas on the Square
tt3513500	Chip 'n Dale: Rescue Rangers
tt7935908	The Apollo
tt11095742	Boys State
tt8503618	Hamilton
tt12607910	Black Is King
tt11464826	The Social Dilemma
tt11394180	Dick Johnson Is Dead
tt11989890	David Attenborough: A Life on Our Planet
tt11874226	David Byrne's American Utopia
tt9850386	The Bee Gees: How Can You Mend a Broken Heart
tt12801326	76 Days
tt16378164	The Territory
tt12971802	Lucy and Desi
tt9883832	Moonage Daydream
tt11866324	Prey
tt17076046	Weird: The Al Yankovic Story
tt19853258	Still: A Michael J. Fox Movie
tt27549751	Taylor Mac's 24-Decade History of Popular Music
tt2953050	Encanto
tt8579674	1917
tt3281548	Little Women
tt6394270	Bombshell
tt5363618	Sound of Metal
tt9620292	Promising Young Woman
tt10633456	Minari
tt6723592	Tenet
tt10272386	The Father
tt12888462	My Octopus Teacher
tt2382320	No Time to Die
tt9770150	Nomadland
tt2948372	Soul
tt10618286	Mank
tt10288566	Another Round
tt10514222	Ma Rainey's Black Bottom
tt9784798	Judas and the Black Messiah
tt10366460	CODA
tt11422728	Summer of Soul (...Or, When the Revolution Could Not Be Televised)
tt3228774	Cruella
tt1160419	Dune: Part One
tt14039582	Drive My Car
tt12789558	Belfast
tt9115530	The Eyes of Tammy Faye
tt10293406	The Power of the Dog
tt9620288	King Richard
tt3581652	West Side Story
tt13833688	The Whale
tt17041964	Navalny
tt6710474	Everything Everywhere All at Once
tt8178634	RRR
tt1745960	Top Gun: Maverick
tt1016150	All Quiet on the Western Front
tt9114286	Black Panther: Wakanda Forever
tt13669038	Women Talking
tt1630029	Avatar: The Way of Water
tt1488589	Guillermo del Toro's Pinocchio
tt22667880	The Boy, the Mole, the Fox and the Horse
tt14230458	Poor Things
tt15398776	Oppenheimer
tt6587046	The Boy and the Heron
tt1517268	Barbie
tt17009710	Anatomy of a Fall
tt0058905	The Amorous Adventures of Moll Flanders
tt4073696	The Go-Between
tt0101066	Clarissa
tt0055361	Call Me Genius
tt0124158	Elton John: Tantrums & Tiaras
tt1701187	Two & Two
tt4959956	Muslim Drag Queens
tt0195141	Pib and Pog
tt0490879	Derren Brown: The Heist
tt8064558	Responsible Child
tt0035230	The Bigamist
tt9769254	8 Days: To the Moon and Back
tt0164317	Achilles
tt0085236	Beyond the Limit
tt0398749	Bella and the Boys
tt0272343	Victoria Wood: With All the Trimmings
tt13099124	Extinction: The Facts
tt10228230	Quiz
tt2870668	A Poet in New York
tt0174245	Storm Damage
tt7410922	Grandpa's Great Escape
tt2326983	Blackout
tt5660320	Shakespeare Live! From the RSC
tt0205903	Eight
tt2560206	The Snowman and the Snowdog
tt0107141	Hostages
tt1369604	Varmints
tt0324992	American Cousins
tt0084459	P'tang, Yang, Kipperbang
tt0310777	Bomber Harris
tt0210551	Au bout du fil
tt0049845	The Third Key
tt0205983	The Greatest Store in the World
tt0051894	The Man Upstairs
tt0056675	War Hunt
tt0945405	The Trial of Tony Blair
tt0220969	All the King's Men
tt0086122	The Ploughman's Lunch
tt3178550	Orbit Ever After
tt0286816	Men Only
tt0053278	Four Desperate Men
tt12939812	Nail Bomber: Manhunt
tt0076916	White Rock
tt0056722	Zoo
tt0040801	The Hideout
tt1506435	9/11: Phone Calls from the Towers
tt15338998	Surviving 9/11
tt4050336	Three Brothers
tt5449572	How to Die: Simon's Choice
tt0188626	Fourteen Days in May
tt0132367	Not a Love Story: A Film About Pornography
tt16277412	Freddie Mercury - The Final Act
tt6725014	Scenes from a Marriage
tt17519342	Life and Death in the Warehouse
tt0224574	60 Cycles
tt0040674	The Last Stage
tt0277050	Je t'aime John Wayne
tt0084894	The Weavers: Wasn't That a Time
tt10349958	Unmasking Jihadi John: Anatomy of a Terrorist
tt7156898	County Lines
tt10370380	The Windermere Children
tt0088111	The Shooting Party
tt0042803	Olivia
tt0468736	Festival
tt0219327	Strictly Sinatra
tt6523092	Against the Law
tt0047029	Romeo and Juliet
tt21650874	Escape from Kabul
tt21046366	Electric Malady
tt0410229	Lift
tt1074218	A Very British Sex Scandal
tt0177023	My Mother Dreams the Satan's Disciples in New York
tt0152800	T.R.A.N.S.I.T.
tt2928078	The 2013 Rock and Roll Hall of Fame Induction Ceremony
tt0085782	Kenny Rogers as The Gambler: The Adventure Continues
tt0088766	The Bad Seed
tt0805497	Boffo! Tinseltown's Bombs and Blockbusters
tt1599280	Avatar: Creating the World of Pandora
tt0091844	Resting Place
tt0111704	White Mile
tt0113309	Hiroshima
tt0280800	Julie and Carol at Lincoln Center
tt2538130	Return to Zero
tt0133735	Ellen Foster
tt0166218	Here Comes Garfield
tt0292520	Garfield Gets a Life
tt0238199	Empire of the Air: The Men Who Made Radio
tt2094146	The Heart of Christmas
tt11168100	Seth Meyers: Lobby Baby
tt0455230	Whoopi: Back to Broadway - The 20th Anniversary
tt0069525	You're Not Elected, Charlie Brown
tt0082358	Fallen Angel
tt0457350	Four Minutes
tt0112261	5 American Kids - 5 American Handguns
tt0082380	Fire on the Mountain
tt0494223	Elton John: The Red Piano
tt0083198	The Time Crystal
tt0181287	American Hollow
tt0237131	D.W. Griffith: Father of Film
tt0108061	The Sea Wolf
tt0117503	The Rockford Files: Godfather Knows Best
tt11569640	Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor
tt0097354	The Final Days
tt2150313	Kathy Griffin: Tired Hooker
tt1150945	Kathy Griffin: Straight to Hell
tt1597032	Kathy Griffin: Balls of Steel
tt0117523	The Siege at Ruby Ridge
tt1057512	Pictures of Hollis Woods
tt10085386	Tiffany Haddish Presents: They Ready
tt0074193	Beauty and the Beast
tt0071839	The Migrants
tt0206305	A Slight Case of Murder
tt0953915	What If God Were the Sun?
tt0169528	The '60s
tt1147705	AFI Life Achievement Award: A Tribute to Al Pacino
tt0089640	Murder with Mirrors
tt0241208	Audrey Hepburn Remembered
tt0086592	The Winter of Our Discontent
tt0110977	The Return of the Native
tt0362001	A Painted House
tt13061790	Once Upon a Snowman
tt0067209	The Homecoming: A Christmas Story
tt0108514	A Walton Thanksgiving Reunion
tt0074723	Judge Horton and the Scottsboro Boys
tt9028896	Q 85: A Musical Celebration For Quincy Jones
tt1877889	Teenage Mutant Ninja Turtles
tt0102403	Marilyn and Me
tt12673718	Framing Britney Spears
tt0091353	Kojak: The Price of Justice
tt12076020	A Celebration of the Music from Coco
tt0110841	A Place for Annie
tt0215785	Race Against Time
tt0352410	Hornblower: Duty
tt14117288	Oprah with Meghan and Harry: A CBS Primetime Special
tt0097214	Do You Know the Muffin Man?
tt0455321	Ambulance Girl
tt0448725	Live from New York: The First 5 Years of Saturday Night Live
tt0200656	Geppetto
tt14573402	The Force Awakens from Its Nap
tt0081201	Murder Can Hurt You!
tt0115187	The Good, the Bad & the Beautiful
tt0072687	Be My Valentine, Charlie Brown
tt1929678	Inside the Human Body
tt0171214	Dash and Lilly
tt0090898	Dallas: The Early Years
tt0076262	Kill Me If You Can
tt0363908	Pride
tt0103245	The Whereabouts of Jenny
tt0265218	Half Past Autumn: The Life and Works of Gordon Parks
tt1242861	Accidental Friendship
tt0154004	The Adventures of Young Indiana Jones: Attack of the Hawkmen
tt0102864	The Search for Signs of Intelligent Life in the Universe
tt1510981	Believe: The Eddie Izzard Story
tt13942226	Robin Roberts Presents: Mahalia
tt0323849	Rudy: The Rudy Giuliani Story
tt0248955	Laughter on the 23rd Floor
tt0113367	Brian Wilson: I Just Wasn't Made for These Times
tt16124480	Reno 911!: The Hunt for QAnon
tt0094660	The Ann Jillian Story
tt0064983	Silent Night, Lonely Night
tt0347751	Back in the U.S.
tt0105833	A Woman Scorned: The Betty Broderick Story
tt0293687	The Very Best of the Ed Sullivan Show
tt17542000	Ali Wong: Don Wong
tt17542306	Frederick Douglass: In Five Speeches
tt0174200	She's a Good Skate, Charlie Brown
tt0074697	It's Arbor Day, Charlie Brown
tt0468556	Talked to Death
tt0115875	The Cherokee Kid
tt0268756	We Are the World
tt15388610	Zoey's Extraordinary Christmas
tt0330768	A Pink Christmas
tt16433236	The Sound of 007
tt0102350	Lucky Day
tt0167415	Steambath
tt22890438	Trevor Noah: I Wish You Would
tt0174220	Snoopy's Getting Married, Charlie Brown
tt0080161	You're the Greatest, Charlie Brown
tt0067587	Play It Again, Charlie Brown
tt0123322	What Have We Learned, Charlie Brown?
tt0173721	A Charlie Brown Celebration
tt0062513	You're in Love, Charlie Brown
tt0063048	He's Your Dog, Charlie Brown
tt0123119	Is This Goodbye, Charlie Brown?
tt0174226	Someday You'll Find Her, Charlie Brown
tt0088713	Amos
tt13622290	Love, Lizzo
tt27442442	The Light We Carry: Michelle Obama and Oprah Winfrey
tt0219593	Cirque du Soleil: Quidam
tt3264024	The Case Against 8
tt10147546	Homecoming: A Film by Beyoncé
tt10090796	Game of Thrones: The Last Watch
tt11318624	John Mulaney & the Sack Lunch Bunch
tt12117854	Jerry Seinfeld: 23 Hours to Kill
tt12146952	Patton Oswalt: I Love Everything
tt10332256	Hannah Gadsby: Douglas
tt0365156	Ellen DeGeneres: Here and Now
tt10324166	Unbreakable Kimmy Schmidt: Kimmy vs the Reverend
tt13180026	A West Wing Special to Benefit When We All Vote
tt13093506	Bruce Springsteen's Letter to You
tt12890926	Between the World and Me
tt0227173	Olive, the Other Reindeer
tt13017992	Mariah Carey's Magical Christmas Special
tt14372240	The Year Earth Changed
tt11337862	Friends: The Reunion
tt12498618	Dave Chappelle: 8:46
tt9154632	The Flood
tt15523010	Dave Chappelle: The Closer
tt16116174	Harry Potter 20th Anniversary: Return to Hogwarts
tt14992922	The Tinder Swindler
